capacity,arm,m1,m2
2,random,121.0,179.0
2,random,151.0,228.0
2,random,111.0,130.0
2,random,126.0,175.0
2,random,115.0,199.0
2,random,116.0,159.0
2,random,120.0,193.0
2,random,116.0,151.0
2,random,140.0,173.0
2,random,140.0,194.0
2,random,116.0,145.0
2,random,102.0,135.0
2,random,102.0,121.0
2,random,131.0,208.0
2,random,91.0,129.0
2,random,96.0,144.0
2,random,140.0,154.0
2,random,96.0,145.0
2,random,116.0,143.0
2,random,130.0,193.0
2,random,101.0,155.0
2,random,101.0,135.0
2,random,145.0,178.0
2,random,136.0,164.0
