regime,model,size,policy,arm,favorable_corner,makespan,stagger_cv
E1_c2,abstraction,4,fifo,random,HC_HI,125.75060668114364,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,140.693543563263,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,155.63421164517246,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,87.2060242640894,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,102.76369660985894,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,106.4595958272887,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,81.80410798796271,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.69893425002866,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,106.86316438953426,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,96.47235057596617,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,165.54439541709252,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.17804869566271,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.02832539005587,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.69963663905472,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,127.60077972007582,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,150.56488834083405,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,113.78819558532066,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.06986273501414,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,93.91104113075605,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,140.85474661874986,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,108.68058477181921,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,76.18806978126662,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,125.34781605143876,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.10103091054583,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.84948605484789,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,81.91290310792425,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.26611088179524,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.06355946619425,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,136.9938800103505,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.83910103159508,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.66937225687082,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,96.74147394653792,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.75232970202782,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,122.02065975120348,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.13765982531856,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,85.13148031524756,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.73359468890368,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.61765279910028,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,72.62544338645273,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,110.89581097275459,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.97953586797298,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.73938842719939,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.10843436694421,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.91140178353784,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,126.82064038536853,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.61376817881015,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,171.49001378547666,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,76.34166264168522,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.70233480410664,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,118.65238062389889,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.46688892126753,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,165.7519684094679,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.96056377900895,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,107.57722200374275,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,101.62099015632847,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.77105003432115,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,88.87325237722507,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.4141203652713,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,131.51933636508392,0.5
