config_id,F,n_amrs,n_elevators,demand,model,size,arm,favorable_corner,makespan
0,3,5,1,uniform,abstraction,8,random,LC_LI,99.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,127.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,175.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,162.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,166.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,162.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,103.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,147.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,137.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,85.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,85.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,152.0
0,3,5,1,uniform,abstraction,8,random,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,127.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,123.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,128.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,114.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,119.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,114.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,141.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,123.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,119.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,84.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,119.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,HC_HI,LC_LI,127.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,136.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,137.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,104.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,129.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,128.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,128.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,113.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,137.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,113.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,HC_LI,LC_LI,142.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,157.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,113.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,100.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,115.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,118.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,137.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,137.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,157.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,114.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,138.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,113.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,143.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,138.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,abstraction,8,LC_HI,LC_LI,108.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,114.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,151.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,151.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,99.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,136.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,99.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,95.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,127.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,133.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,122.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,132.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,114.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,109.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,127.0
0,3,5,1,uniform,abstraction,8,LC_LI,LC_LI,151.0
0,3,5,1,uniform,batched,8,random,LC_LI,203.0
0,3,5,1,uniform,batched,8,random,LC_LI,193.0
0,3,5,1,uniform,batched,8,random,LC_LI,182.0
0,3,5,1,uniform,batched,8,random,LC_LI,192.0
0,3,5,1,uniform,batched,8,random,LC_LI,113.0
0,3,5,1,uniform,batched,8,random,LC_LI,113.0
0,3,5,1,uniform,batched,8,random,LC_LI,141.0
0,3,5,1,uniform,batched,8,random,LC_LI,207.0
0,3,5,1,uniform,batched,8,random,LC_LI,197.0
0,3,5,1,uniform,batched,8,random,LC_LI,146.0
0,3,5,1,uniform,batched,8,random,LC_LI,198.0
0,3,5,1,uniform,batched,8,random,LC_LI,146.0
0,3,5,1,uniform,batched,8,random,LC_LI,80.0
0,3,5,1,uniform,batched,8,random,LC_LI,98.0
0,3,5,1,uniform,batched,8,random,LC_LI,164.0
0,3,5,1,uniform,batched,8,random,LC_LI,156.0
0,3,5,1,uniform,batched,8,random,LC_LI,155.0
0,3,5,1,uniform,batched,8,random,LC_LI,147.0
0,3,5,1,uniform,batched,8,random,LC_LI,117.0
0,3,5,1,uniform,batched,8,random,LC_LI,183.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,240.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,141.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,155.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,192.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,192.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,226.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,240.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,192.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,155.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,132.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,145.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,151.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,202.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,174.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,226.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,160.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,150.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,179.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,197.0
0,3,5,1,uniform,batched,8,HC_HI,LC_LI,212.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,207.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,189.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,207.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,164.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,166.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,169.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,155.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,178.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,165.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,189.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,226.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,174.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,188.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,169.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,161.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,198.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,183.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,174.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,169.0
0,3,5,1,uniform,batched,8,HC_LI,LC_LI,122.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,165.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,104.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,154.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,240.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,117.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,240.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,122.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,75.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,185.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,127.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,165.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,118.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,136.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,127.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,141.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,240.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,104.0
0,3,5,1,uniform,batched,8,LC_HI,LC_LI,165.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,169.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,113.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,112.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,131.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,131.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,137.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,188.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,112.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,131.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,194.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,113.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,137.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,197.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,145.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,187.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,197.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,188.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,149.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,140.0
0,3,5,1,uniform,batched,8,LC_LI,LC_LI,197.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,84.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,118.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,137.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,107.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,137.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,117.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,133.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,113.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,103.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,85.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,118.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,102.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,94.0
2,3,15,1,clustered,abstraction,8,random,LC_HI,75.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,141.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,94.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,137.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,80.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,141.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,136.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,132.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,109.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,131.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,79.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,79.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,147.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,132.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,147.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,89.0
2,3,15,1,clustered,abstraction,8,HC_HI,LC_HI,89.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,137.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,103.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,118.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,99.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,128.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,113.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,99.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,137.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,93.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,94.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,113.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,118.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,109.0
2,3,15,1,clustered,abstraction,8,HC_LI,LC_HI,108.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,126.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,111.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,107.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,111.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,75.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,75.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,126.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,111.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,93.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,121.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,126.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,126.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,126.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,107.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,117.0
2,3,15,1,clustered,abstraction,8,LC_HI,LC_HI,75.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,117.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,84.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,102.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,107.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,93.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,93.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,117.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,84.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,112.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,103.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,98.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,88.0
2,3,15,1,clustered,abstraction,8,LC_LI,LC_HI,93.0
2,3,15,1,clustered,batched,8,random,LC_LI,153.0
2,3,15,1,clustered,batched,8,random,LC_LI,102.0
2,3,15,1,clustered,batched,8,random,LC_LI,145.0
2,3,15,1,clustered,batched,8,random,LC_LI,106.0
2,3,15,1,clustered,batched,8,random,LC_LI,142.0
2,3,15,1,clustered,batched,8,random,LC_LI,150.0
2,3,15,1,clustered,batched,8,random,LC_LI,158.0
2,3,15,1,clustered,batched,8,random,LC_LI,145.0
2,3,15,1,clustered,batched,8,random,LC_LI,112.0
2,3,15,1,clustered,batched,8,random,LC_LI,102.0
2,3,15,1,clustered,batched,8,random,LC_LI,145.0
2,3,15,1,clustered,batched,8,random,LC_LI,125.0
2,3,15,1,clustered,batched,8,random,LC_LI,117.0
2,3,15,1,clustered,batched,8,random,LC_LI,162.0
2,3,15,1,clustered,batched,8,random,LC_LI,136.0
2,3,15,1,clustered,batched,8,random,LC_LI,140.0
2,3,15,1,clustered,batched,8,random,LC_LI,159.0
2,3,15,1,clustered,batched,8,random,LC_LI,197.0
2,3,15,1,clustered,batched,8,random,LC_LI,167.0
2,3,15,1,clustered,batched,8,random,LC_LI,157.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,132.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,132.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,149.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,108.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,141.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,103.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,108.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,122.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,201.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,113.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,113.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,168.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,136.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,149.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,103.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,103.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,158.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,122.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,201.0
2,3,15,1,clustered,batched,8,HC_HI,LC_LI,149.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,126.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,173.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,159.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,121.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,155.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,140.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,159.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,198.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,140.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,140.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,211.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,164.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,159.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,145.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,163.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,145.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,197.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,159.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,163.0
2,3,15,1,clustered,batched,8,HC_LI,LC_LI,211.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,158.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,93.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,143.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,88.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,157.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,143.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,157.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,152.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,143.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,158.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,157.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,93.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,143.0
2,3,15,1,clustered,batched,8,LC_HI,LC_LI,79.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,111.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,125.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,135.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,125.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,125.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,102.0
2,3,15,1,clustered,batched,8,LC_LI,LC_LI,107.0
