regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,random,233.0,311.0
E1_c2,abstraction,random,198.0,263.0
E1_c2,abstraction,random,208.0,287.0
E1_c2,abstraction,random,199.0,292.0
E1_c2,abstraction,random,174.0,189.0
E1_c2,abstraction,random,154.0,199.0
E1_c2,abstraction,random,184.0,282.0
E1_c2,abstraction,random,159.0,252.0
E1_c2,abstraction,random,173.0,229.0
E1_c2,abstraction,random,159.0,249.0
E1_c2,abstraction,random,149.0,211.0
E1_c2,abstraction,random,168.0,217.0
E1_c2,abstraction,random,175.0,234.0
E1_c2,abstraction,random,169.0,211.0
E1_c2,abstraction,random,179.0,221.0
E1_c2,abstraction,random,179.0,271.0
E1_c2,abstraction,random,238.0,303.0
E1_c2,abstraction,random,158.0,279.0
E1_c2,abstraction,random,173.0,272.0
E1_c2,abstraction,random,189.0,278.0
E1_c2,abstraction,random,204.0,280.0
E1_c2,abstraction,random,140.0,155.0
E1_c2,abstraction,random,150.0,243.0
E1_c2,abstraction,random,178.0,188.0
E1_c2,abstraction,random,189.0,283.0
E1_c2,abstraction,random,179.0,256.0
E1_c2,abstraction,random,213.0,325.0
E1_c2,abstraction,random,149.0,232.0
E1_c2,abstraction,random,134.0,215.0
E1_c2,abstraction,random,178.0,227.0
E1_c2,abstraction,random,179.0,246.0
E1_c2,abstraction,random,120.0,227.0
E1_c2,abstraction,random,155.0,209.0
E1_c2,abstraction,random,140.0,197.0
E1_c2,abstraction,random,149.0,264.0
E1_c2,abstraction,random,169.0,239.0
E1_c2,abstraction,random,208.0,288.0
E1_c2,abstraction,random,198.0,286.0
E1_c2,abstraction,random,149.0,254.0
E1_c2,abstraction,random,145.0,261.0
E1_c2,abstraction,random,170.0,283.0
