regime,model,size,cv,arm,makespan
E1_c2,abstraction,6,0.0,HC_HI,248.0
E1_c2,abstraction,6,0.0,HC_HI,178.0
E1_c2,abstraction,6,0.0,HC_HI,183.0
E1_c2,abstraction,6,0.0,HC_HI,199.0
E1_c2,abstraction,6,0.0,HC_HI,165.0
E1_c2,abstraction,6,0.0,HC_HI,144.0
E1_c2,abstraction,6,0.0,HC_HI,188.0
E1_c2,abstraction,6,0.0,HC_HI,204.0
E1_c2,abstraction,6,0.0,HC_HI,144.0
E1_c2,abstraction,6,0.0,HC_HI,174.0
E1_c2,abstraction,6,0.0,HC_HI,238.0
E1_c2,abstraction,6,0.0,HC_HI,204.0
E1_c2,abstraction,6,0.0,HC_HI,174.0
E1_c2,abstraction,6,0.0,HC_HI,183.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_HI,189.0
E1_c2,abstraction,6,0.0,HC_HI,174.0
E1_c2,abstraction,6,0.0,HC_HI,183.0
E1_c2,abstraction,6,0.0,HC_HI,131.0
E1_c2,abstraction,6,0.0,HC_HI,124.0
E1_c2,abstraction,6,0.0,HC_HI,174.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_HI,208.0
E1_c2,abstraction,6,0.0,HC_HI,208.0
E1_c2,abstraction,6,0.0,HC_HI,212.0
E1_c2,abstraction,6,0.0,HC_HI,135.0
E1_c2,abstraction,6,0.0,HC_HI,164.0
E1_c2,abstraction,6,0.0,HC_HI,219.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_HI,134.0
E1_c2,abstraction,6,0.0,HC_HI,194.0
E1_c2,abstraction,6,0.0,HC_HI,228.0
E1_c2,abstraction,6,0.0,HC_HI,179.0
E1_c2,abstraction,6,0.0,HC_HI,179.0
E1_c2,abstraction,6,0.0,HC_HI,189.0
E1_c2,abstraction,6,0.0,HC_HI,222.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_HI,135.0
E1_c2,abstraction,6,0.0,HC_HI,184.0
E1_c2,abstraction,6,0.0,HC_HI,218.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_HI,174.0
E1_c2,abstraction,6,0.0,HC_HI,188.0
E1_c2,abstraction,6,0.0,HC_HI,149.0
E1_c2,abstraction,6,0.0,HC_HI,164.0
E1_c2,abstraction,6,0.0,HC_HI,194.0
E1_c2,abstraction,6,0.0,HC_HI,139.0
E1_c2,abstraction,6,0.0,HC_HI,125.0
E1_c2,abstraction,6,0.0,HC_HI,193.0
E1_c2,abstraction,6,0.0,HC_LI,233.0
E1_c2,abstraction,6,0.0,HC_LI,203.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,155.0
E1_c2,abstraction,6,0.0,HC_LI,213.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,183.0
E1_c2,abstraction,6,0.0,HC_LI,218.0
E1_c2,abstraction,6,0.0,HC_LI,199.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,165.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,223.0
E1_c2,abstraction,6,0.0,HC_LI,184.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,149.0
E1_c2,abstraction,6,0.0,HC_LI,164.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,193.0
E1_c2,abstraction,6,0.0,HC_LI,223.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,213.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,148.0
E1_c2,abstraction,6,0.0,HC_LI,199.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,164.0
E1_c2,abstraction,6,0.0,HC_LI,218.0
E1_c2,abstraction,6,0.0,HC_LI,164.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,134.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,158.0
E1_c2,abstraction,6,0.0,HC_LI,145.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,223.0
E1_c2,abstraction,6,0.0,HC_LI,179.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,154.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,179.0
E1_c2,abstraction,6,0.0,HC_LI,149.0
E1_c2,abstraction,6,0.0,HC_LI,173.0
E1_c2,abstraction,6,0.0,HC_LI,173.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,184.0
E1_c2,abstraction,6,0.0,HC_LI,173.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,179.0
E1_c2,abstraction,6,0.0,HC_LI,158.0
E1_c2,abstraction,6,0.0,HC_LI,218.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,179.0
E1_c2,abstraction,6,0.0,HC_LI,173.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,187.0
E1_c2,abstraction,6,0.0,HC_LI,233.0
E1_c2,abstraction,6,0.0,HC_LI,199.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,184.0
E1_c2,abstraction,6,0.0,HC_LI,164.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,184.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,158.0
E1_c2,abstraction,6,0.0,HC_LI,174.0
E1_c2,abstraction,6,0.0,HC_LI,170.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,209.0
E1_c2,abstraction,6,0.0,HC_LI,223.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,174.0
E1_c2,abstraction,6,0.0,HC_LI,193.0
E1_c2,abstraction,6,0.0,HC_LI,145.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,143.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,153.0
E1_c2,abstraction,6,0.0,HC_LI,193.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,203.0
E1_c2,abstraction,6,0.0,HC_LI,163.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,148.0
E1_c2,abstraction,6,0.0,HC_LI,174.0
E1_c2,abstraction,6,0.0,HC_LI,174.0
E1_c2,abstraction,6,0.0,HC_LI,159.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,143.0
E1_c2,abstraction,6,0.0,HC_LI,203.0
E1_c2,abstraction,6,0.0,HC_LI,213.0
E1_c2,abstraction,6,0.0,HC_LI,169.0
E1_c2,abstraction,6,0.0,HC_LI,164.0
E1_c2,abstraction,6,0.0,HC_LI,174.0
E1_c2,abstraction,6,0.0,HC_LI,223.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,158.0
E1_c2,abstraction,6,0.0,HC_LI,154.0
E1_c2,abstraction,6,0.0,HC_LI,178.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,165.0
E1_c2,abstraction,6,0.0,HC_LI,163.0
E1_c2,abstraction,6,0.0,HC_LI,165.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,155.0
E1_c2,abstraction,6,0.0,HC_LI,158.0
E1_c2,abstraction,6,0.0,HC_LI,154.0
E1_c2,abstraction,6,0.0,HC_LI,188.0
E1_c2,abstraction,6,0.0,HC_LI,208.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,193.0
E1_c2,abstraction,6,0.0,HC_LI,168.0
E1_c2,abstraction,6,0.0,HC_LI,145.0
E1_c2,abstraction,6,0.0,HC_LI,165.0
E1_c2,abstraction,6,0.0,HC_LI,183.0
E1_c2,abstraction,6,0.0,HC_LI,189.0
E1_c2,abstraction,6,0.0,HC_LI,198.0
E1_c2,abstraction,6,0.0,HC_LI,128.0
E1_c2,abstraction,6,0.0,HC_LI,199.0
E1_c2,abstraction,6,0.0,HC_LI,149.0
