config_id,F,n_amrs,n_elevators,demand,model,size,policy,makespan
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,100.0
1,3,5,2,uniform,batched,8,P0_random,90.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,108.0
1,3,5,2,uniform,batched,8,P0_random,76.0
1,3,5,2,uniform,batched,8,P0_random,142.0
1,3,5,2,uniform,batched,8,P0_random,76.0
1,3,5,2,uniform,batched,8,P0_random,118.0
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,118.0
1,3,5,2,uniform,batched,8,P0_random,114.0
1,3,5,2,uniform,batched,8,P0_random,89.0
1,3,5,2,uniform,batched,8,P0_random,85.0
1,3,5,2,uniform,batched,8,P0_random,81.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,119.0
1,3,5,2,uniform,batched,8,P0_random,108.0
1,3,5,2,uniform,batched,8,P0_random,153.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,105.0
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,90.0
1,3,5,2,uniform,batched,8,P0_random,76.0
1,3,5,2,uniform,batched,8,P0_random,85.0
1,3,5,2,uniform,batched,8,P0_random,138.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,86.0
1,3,5,2,uniform,batched,8,P0_random,113.0
1,3,5,2,uniform,batched,8,P0_random,71.0
1,3,5,2,uniform,batched,8,P0_random,90.0
1,3,5,2,uniform,batched,8,P0_random,90.0
1,3,5,2,uniform,batched,8,P0_random,95.0
1,3,5,2,uniform,batched,8,P0_random,81.0
1,3,5,2,uniform,batched,8,P0_random,89.0
1,3,5,2,uniform,batched,8,P0_random,156.0
1,3,5,2,uniform,batched,8,P0_random,143.0
1,3,5,2,uniform,batched,8,P0_random,85.0
1,3,5,2,uniform,batched,8,P0_random,95.0
1,3,5,2,uniform,batched,8,P0_random,85.0
1,3,5,2,uniform,batched,8,P0_random,113.0
1,3,5,2,uniform,batched,8,P0_random,124.0
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,123.0
1,3,5,2,uniform,batched,8,P0_random,57.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,115.0
1,3,5,2,uniform,batched,8,P0_random,65.0
1,3,5,2,uniform,batched,8,P0_random,71.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,80.0
1,3,5,2,uniform,batched,8,P0_random,61.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,119.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,85.0
1,3,5,2,uniform,batched,8,P0_random,108.0
1,3,5,2,uniform,batched,8,P0_random,109.0
1,3,5,2,uniform,batched,8,P0_random,66.0
1,3,5,2,uniform,batched,8,P0_random,133.0
1,3,5,2,uniform,batched,8,P0_random,166.0
1,3,5,2,uniform,batched,8,P0_random,119.0
1,3,5,2,uniform,batched,8,P0_random,95.0
1,3,5,2,uniform,batched,8,P0_random,119.0
1,3,5,2,uniform,batched,8,P0_random,99.0
1,3,5,2,uniform,batched,8,P0_random,67.0
1,3,5,2,uniform,batched,8,P0_random,94.0
1,3,5,2,uniform,batched,8,P0_random,114.0
1,3,5,2,uniform,batched,8,P0_random,104.0
1,3,5,2,uniform,batched,8,P0_random,71.0
1,3,5,2,uniform,batched,8,P0_random,114.0
1,3,5,2,uniform,batched,8,P0_random,118.0
1,3,5,2,uniform,batched,8,P0_random,118.0
1,3,5,2,uniform,batched,8,P0_random,81.0
1,3,5,2,uniform,batched,8,P0_random,95.0
1,3,5,2,uniform,batched,8,P0_random,123.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,109.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,84.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,143.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,118.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,71.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,104.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,133.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,90.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,104.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,77.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,85.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,85.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,80.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,99.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,61.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,132.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,93.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,109.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,72.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,124.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,99.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,118.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,109.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,104.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,72.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,76.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,147.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,123.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,114.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,114.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,99.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,75.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,70.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,133.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,76.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,100.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,124.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,118.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,132.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,81.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,86.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,119.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,118.0
1,3,5,2,uniform,batched,8,P1_dest_cluster,123.0
