config_id,F,n_amrs,n_elevators,demand,size,scheme,corner,makespan
1,3,5,2,uniform,16,2x2_CI,random,157.0
1,3,5,2,uniform,16,2x2_CI,random,161.0
1,3,5,2,uniform,16,2x2_CI,random,257.0
1,3,5,2,uniform,16,2x2_CI,random,151.0
1,3,5,2,uniform,16,2x2_CI,random,180.0
1,3,5,2,uniform,16,2x2_CI,random,186.0
1,3,5,2,uniform,16,2x2_CI,random,166.0
1,3,5,2,uniform,16,2x2_CI,random,209.0
1,3,5,2,uniform,16,2x2_CI,random,189.0
1,3,5,2,uniform,16,2x2_CI,random,146.0
1,3,5,2,uniform,16,2x2_CI,random,198.0
1,3,5,2,uniform,16,2x2_CI,random,203.0
1,3,5,2,uniform,16,2x2_CI,random,138.0
1,3,5,2,uniform,16,2x2_CI,random,184.0
1,3,5,2,uniform,16,2x2_CI,random,181.0
1,3,5,2,uniform,16,2x2_CI,random,141.0
1,3,5,2,uniform,16,2x2_CI,random,227.0
1,3,5,2,uniform,16,2x2_CI,random,185.0
1,3,5,2,uniform,16,2x2_CI,random,260.0
1,3,5,2,uniform,16,2x2_CI,random,216.0
1,3,5,2,uniform,16,2x2_CI,random,214.0
1,3,5,2,uniform,16,2x2_CI,random,189.0
1,3,5,2,uniform,16,2x2_CI,random,146.0
1,3,5,2,uniform,16,2x2_CI,random,194.0
1,3,5,2,uniform,16,2x2_CI,random,223.0
1,3,5,2,uniform,16,2x2_CI,random,216.0
1,3,5,2,uniform,16,2x2_CI,random,203.0
1,3,5,2,uniform,16,2x2_CI,random,199.0
1,3,5,2,uniform,16,2x2_CI,random,210.0
1,3,5,2,uniform,16,2x2_CI,random,209.0
1,3,5,2,uniform,16,2x2_CI,random,192.0
1,3,5,2,uniform,16,2x2_CI,random,190.0
1,3,5,2,uniform,16,2x2_CI,random,188.0
1,3,5,2,uniform,16,2x2_CI,random,191.0
1,3,5,2,uniform,16,2x2_CI,random,223.0
1,3,5,2,uniform,16,2x2_CI,random,166.0
1,3,5,2,uniform,16,2x2_CI,random,227.0
1,3,5,2,uniform,16,2x2_CI,random,218.0
1,3,5,2,uniform,16,2x2_CI,random,181.0
1,3,5,2,uniform,16,2x2_CI,random,205.0
1,3,5,2,uniform,16,2x2_CI,random,204.0
1,3,5,2,uniform,16,2x2_CI,random,209.0
1,3,5,2,uniform,16,2x2_CI,random,127.0
1,3,5,2,uniform,16,2x2_CI,random,160.0
1,3,5,2,uniform,16,2x2_CI,random,123.0
1,3,5,2,uniform,16,2x2_CI,random,183.0
1,3,5,2,uniform,16,2x2_CI,random,194.0
1,3,5,2,uniform,16,2x2_CI,random,223.0
